,GLD,BTC
,close,close
2019-02-22,125.51,3925.780875748506
2019-02-25,125.38,3793.318516363641
2019-02-26,125.57,3799.620190895742
2019-02-27,124.7,3795.054684287817
2019-02-28,123.99,3810.51224087592
2019-03-01,121.88,3813.6081495468234
2019-03-04,121.56,3723.550527488858
2019-03-05,121.72,3769.234814534443
2019-03-06,121.62,3839.464174980808
2019-03-07,121.5,3861.377774545456
2019-03-08,122.83,3872.0247301349273
2019-03-11,122.24,3862.935305810395
2019-03-12,122.98,3847.332863534677
2019-03-13,123.84,3852.977484025564
2019-03-14,122.42,3850.2366177606114
2019-03-15,122.97,3878.52215536938
2019-03-18,123.04,3969.003053097341
2019-03-19,123.39,3977.0320787746255
2019-03-20,124.17,3996.02295069904
2019-03-21,123.68,4005.2460706401703
2019-03-22,123.97,3981.797916355488
2019-03-25,124.91,3949.1781067251545
2019-03-26,124.3,3908.2768026706353
2019-03-27,123.65,3994.120871428558
2019-03-28,121.9,4009.163718411551
2019-03-29,122.02,4058.038121827415
2019-04-01,121.53,4125.61276978417
2019-04-02,121.98,4649.502470341942
2019-04-03,121.8,5038.558554551768
2019-04-04,122.11,4971.633903966586
2019-04-05,121.988,4980.822742616037
2019-04-08,122.55,5241.428588399726
2019-04-09,123.16,5221.325315126046
2019-04-10,123.52,5270.957697740115
2019-04-11,121.96,5129.929832985389
2019-04-12,121.82,5047.625120226302
2019-04-15,121.6,5121.366408602157
2019-04-16,120.51,5099.128106169298
2019-04-17,120.31,5218.703792613632
2019-04-18,120.39,5263.958510638303
2019-04-22,120.37,5317.893825838686
2019-04-23,120.11,5533.129550877196
2019-04-24,120.455,5487.845385164065
2019-04-25,120.59,5422.897686882936
2019-04-26,121.36,5149.725794979083
2019-04-29,120.83,5154.434383954149
2019-04-30,121.2,5199.923757916961
2019-05-01,120.41,5303.609169649246
2019-05-02,119.95,5361.462391767229
2019-05-03,120.66,5618.357134831458
2019-05-06,120.83,5656.317295597482
2019-05-07,121.23,5863.622200557104
2019-05-08,120.9,5844.081910426869
2019-05-09,121.2,6047.357390090717
2019-05-10,121.4,6290.680201809323
2019-05-13,122.67,7410.074296657393
2019-05-14,122.44,7993.158020833342
2019-05-15,122.36,8054.80577777778
2019-05-16,121.5,7993.675621959703
2019-05-17,120.65,7263.197819444444
2019-05-20,120.65,7906.786629603898
2019-05-21,120.35,7953.01379694019
2019-05-22,120.24,7890.870847810981
2019-05-23,121.17,7703.489547983316
2019-05-24,121.29,7983.823395833333
2019-05-28,120.81,8726.058610145932
2019-05-29,120.86,8646.49276388888
2019-05-30,121.68,8631.68847916668
2019-05-31,123.33,8350.288833333312
2019-06-03,125.11,8530.975041724618
2019-06-04,125.18,7850.039336626668
2019-06-05,125.45,7771.930013898531
2019-06-06,125.89,7751.1627916666675
2019-06-07,126.59,7938.971557719053
2019-06-10,125.33,7820.196540616234
2019-06-11,125.2,7897.125170731722
2019-06-12,125.82,8036.834575208917
2019-06-13,126.6,8170.0202779708
2019-06-14,126.56,8353.847613082817
2019-06-17,126.48,9236.652892906808
2019-06-18,127.04,9153.284433634468
2019-06-19,127.89,9148.2499791522
2019-06-20,131.12,9353.511779013188
2019-06-21,132.0,9802.451152777776
2019-06-24,133.94,10844.86733333332
2019-06-25,134.2,11314.388562500011
2019-06-26,132.97,12643.553618055552
2019-06-27,132.84,11803.958812500005
2019-06-28,133.17,11678.216726893674
2019-07-01,130.6,10687.819687499998
2019-07-02,133.38,10305.094118055564
2019-07-03,133.64,11345.892000000002
2019-07-05,132.16,11141.025522284104
2019-07-08,131.29,11794.24707724427
2019-07-09,131.78,12514.166858929795
